"Date","InMort_total","InMort_var","InMort_fix0_1","InMort_fix1_3","InMort_fix3_5","InMort_fix5","UnMort_total","UnMort_var","UnMort_fix0_1","UnMort_fix1_3","UnMort_fix3_5","UnMort_fix5","Credit_rate"
2014-08-01,"9308000000","1542000000","570000000","1773000000","2060000000","3362000000","16972000000","4634000000","531000000","3711000000","3578000000","4518000000","16611000000"
2014-09-01,"7944000000","1421000000","436000000","1352000000","1836000000","2899000000","15480000000","4276000000","435000000","3520000000","3158000000","4090000000","17570000000"
2014-10-01,"8919000000","1599000000","464000000","1777000000","1782000000","3297000000","16695000000","4672000000","459000000","3861000000","3182000000","4520000000","16818000000"
2014-11-01,"6981000000","1564000000","424000000","1081000000","1406000000","2507000000","13855000000","4511000000","429000000","2906000000","2288000000","3722000000","14478000000"
2014-12-01,"7521000000","1754000000","444000000","1033000000","1447000000","2843000000","14482000000","4875000000","470000000","2816000000","2237000000","4085000000","15993000000"
2015-01-01,"6137000000","1593000000","424000000","857000000","1182000000","2081000000","12480000000","4615000000","412000000","2313000000","1743000000","3396000000","13901000000"
2015-02-01,"7291000000","2196000000","450000000","940000000","1036000000","2669000000","12778000000","5550000000","414000000","2066000000","1420000000","3328000000","14261000000"
2015-03-01,"9019000000","2566000000","560000000","1360000000","1045000000","3488000000","16882000000","6831000000","584000000","3384000000","1582000000","4501000000","16779000000"
2015-04-01,"11035000000","2789000000","740000000","1801000000","1285000000","4420000000","19128000000","6873000000","618000000","3973000000","1898000000","5765000000","17180000000"
2015-05-01,"11366000000","2521000000","727000000","1800000000","1446000000","4873000000","20179000000","6775000000","637000000","4156000000","2128000000","6481000000","17497000000"
2015-06-01,"13050000000","2903000000","761000000","1987000000","1600000000","5798000000","24252000000","8039000000","770000000","4963000000","2515000000","7965000000","19987000000"
2015-07-01,"12236000000","2969000000","674000000","1771000000","1503000000","5318000000","23114000000","8310000000","722000000","4656000000","2368000000","7059000000","19035000000"
2015-08-01,"10919000000","3147000000","610000000","1426000000","1339000000","4398000000","21064000000","8965000000","645000000","3774000000","2235000000","5446000000","18110000000"
2015-09-01,"10490000000","3082000000","606000000","1643000000","1196000000","3963000000","20992000000","9278000000","669000000","3717000000","2008000000","5321000000","17882000000"
2015-10-01,"11420000000","3139000000","632000000","1907000000","1317000000","4425000000","20882000000","8870000000","637000000","3988000000","1976000000","5412000000","16663000000"
2015-11-01,"10750000000","2408000000","632000000","2125000000","1574000000","4011000000","20576000000","7697000000","600000000","4564000000","2318000000","5397000000","16327000000"
2015-12-01,"11505000000","2244000000","596000000","2415000000","2118000000","4131000000","20328000000","6238000000","610000000","5029000000","2906000000","5545000000","16423000000"
2016-01-01,"8430000000","1551000000","528000000","1530000000","1469000000","3353000000","17185000000","4900000000","562000000","4819000000","2571000000","4334000000","14279000000"
2016-02-01,"8840000000","1492000000","643000000","1624000000","1526000000","3556000000","16667000000","4378000000","660000000","4935000000","2699000000","3995000000","16169000000"
2016-03-01,"9748000000","1528000000","825000000","1913000000","1732000000","3749000000","17878000000","4010000000","843000000","5973000000","3120000000","3933000000","16451000000"
2016-04-01,"11162000000","1630000000","828000000","3100000000","2005000000","3597000000","20227000000","3829000000","779000000","7484000000","3373000000","4761000000","17767000000"
2016-05-01,"11595000000","1532000000","767000000","2871000000","2035000000","4389000000","22884000000","4128000000","764000000","8062000000","3683000000","6248000000","19745000000"
2016-06-01,"13834000000","1984000000","879000000","2749000000","2363000000","5859000000","26472000000","5010000000","846000000","8597000000","4157000000","7863000000","21059000000"
2016-07-01,"12569000000","1897000000","831000000","2704000000","1724000000","5414000000","25686000000","5168000000","890000000","8428000000","3580000000","7621000000","19190000000"
2016-08-01,"11993000000","1776000000","749000000","2665000000","1839000000","4964000000","25696000000","5112000000","833000000","8188000000","3738000000","7826000000","20381000000"
2016-09-01,"10941000000","1661000000","702000000","2441000000","1700000000","4436000000","23199000000","4513000000","845000000","7365000000","3467000000","7009000000","18819000000"
2016-10-01,"9210000000","1309000000","588000000","1904000000","1371000000","4039000000","19632000000","3857000000","697000000","5881000000","2936000000","6261000000","17044000000"
2016-11-01,"9509000000","1049000000","540000000","1772000000","1617000000","4531000000","22829000000","3714000000","729000000","6417000000","3824000000","8144000000","17490000000"
2016-12-01,"9297000000","772000000","510000000","1768000000","2084000000","4163000000","20720000000","3034000000","709000000","5330000000","4182000000","7464000000","16467000000"
2017-01-01,"6140000000","658000000","451000000","1293000000","1354000000","2384000000","16175000000","2675000000","619000000","4444000000","3035000000","5402000000","15441000000"
2017-02-01,"5613000000","774000000","437000000","1258000000","1174000000","1970000000","14468000000","2892000000","598000000","3876000000","2680000000","4421000000","15840000000"
2017-03-01,"7113000000","1091000000","586000000","1640000000","1372000000","2424000000","19075000000","4339000000","756000000","4981000000","3265000000","5734000000","18340000000"
2017-04-01,"7609000000","1254000000","601000000","1846000000","1309000000","2598000000","18661000000","4616000000","781000000","4945000000","2876000000","5443000000","17862000000"
2017-05-01,"9288000000","1662000000","696000000","1984000000","1558000000","3388000000","25002000000","6659000000","924000000","6075000000","3652000000","7692000000","22669000000"
2017-06-01,"11629000000","1963000000","901000000","2365000000","1967000000","4432000000","29011000000","7561000000","1071000000","6392000000","4417000000","9570000000","23474000000"
2017-07-01,"11901000000","1408000000","862000000","2336000000","2599000000","4696000000","30529000000","5439000000","1021000000","6452000000","6080000000","11537000000","21546000000"
2017-08-01,"11013000000","1319000000","721000000","2174000000","2351000000","4448000000","29198000000","4986000000","866000000","6023000000","5753000000","11570000000","21551000000"
2017-09-01,"8191000000","940000000","627000000","1859000000","1658000000","3108000000","22739000000","3707000000","802000000","5042000000","4353000000","8835000000","19000000000"
2017-10-01,"8219000000","803000000","618000000","2013000000","1704000000","3081000000","22172000000","3259000000","859000000","5140000000","4428000000","8486000000","18967000000"
2017-11-01,"7107000000","943000000","593000000","1666000000","1247000000","2657000000","20067000000","3763000000","815000000","4434000000","3384000000","7672000000","18340000000"
2017-12-01,"6526000000","998000000","564000000","1464000000","998000000","2501000000","18286000000","3789000000","827000000","3853000000","2945000000","6872000000","17511000000"
2018-01-01,"7230000000","898000000","541000000","1730000000","1270000000","2791000000","19752000000","3702000000","717000000","4658000000","3523000000","7153000000","17162000000"
2018-02-01,"8132000000","821000000","561000000","1969000000","1487000000","3295000000","17766000000","3095000000","728000000","4155000000","3523000000","6265000000","16400000000"
2018-03-01,"7880000000","895000000","649000000","1745000000","1396000000","3194000000","17839000000","3451000000","846000000","4216000000","3561000000","5766000000","17185000000"
2018-04-01,"8728000000","1231000000","799000000","1965000000","1378000000","3355000000","19845000000","4630000000","1020000000","4716000000","3642000000","5837000000","19563000000"
2018-05-01,"11461000000","2163000000","911000000","2214000000","1741000000","4432000000","25468000000","7429000000","1144000000","5876000000","4318000000","6701000000","21165000000"
2018-06-01,"12532000000","4412000000","980000000","1734000000","1391000000","4014000000","27796000000","13370000000","1342000000","4600000000","3207000000","5277000000","21614000000"
2018-07-01,"9982000000","3203000000","861000000","1598000000","1131000000","3190000000","24846000000","11648000000","1136000000","4524000000","2987000000","4551000000","21243000000"
2018-08-01,"9942000000","2727000000","868000000","1766000000","1204000000","3377000000","24858000000","10709000000","1189000000","5181000000","3157000000","4622000000","21006000000"
2018-09-01,"7687000000","1791000000","729000000","1583000000","1076000000","2509000000","19475000000","7279000000","1079000000","4839000000","2672000000","3605000000","18080000000"
2018-10-01,"8703000000","2057000000","704000000","1568000000","1290000000","3083000000","22202000000","7297000000","1085000000","5120000000","3598000000","5101000000","19395000000"
2018-11-01,"8609000000","1826000000","679000000","1391000000","1461000000","3252000000","22803000000","5954000000","1071000000","4779000000","4410000000","6588000000","17359000000"
2018-12-01,"6569000000","1131000000","622000000","1149000000","1152000000","2515000000","18193000000","4326000000","1006000000","4224000000","3638000000","4998000000","16165000000"
