"Date","GEO","VALUE","val_norm","Components","Unit of measure"
2013-05-01,"Canada",2.96,0.0296,"InMort_fix3_5","Interest rate (percentage)"
2013-05-01,"Canada",5778,5.778e+09,"InMort_fix5","Dollars (in millions)"
2013-05-01,"Canada",3,0.03,"InMort_fix5","Interest rate (percentage)"
2013-05-01,"Canada",16888,1.6888e+10,"UnMort_total","Dollars (in millions)"
2013-05-01,"Canada",3.01,0.0301,"UnMort_total","Interest rate (percentage)"
2013-05-01,"Canada",1537,1.537e+09,"UnMort_var","Dollars (in millions)"
2013-05-01,"Canada",3.44,0.0344,"UnMort_var","Interest rate (percentage)"
2013-05-01,"Canada",387,3.87e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-05-01,"Canada",4.3,0.043,"UnMort_fix0_1","Interest rate (percentage)"
2013-05-01,"Canada",3335,3.335e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-05-01,"Canada",2.8,0.028,"UnMort_fix1_3","Interest rate (percentage)"
2013-05-01,"Canada",3023,3.023e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-05-01,"Canada",2.93,0.0293,"UnMort_fix3_5","Interest rate (percentage)"
2013-05-01,"Canada",8607,8.607e+09,"UnMort_fix5","Dollars (in millions)"
2013-05-01,"Canada",2.99,0.0299,"UnMort_fix5","Interest rate (percentage)"
2013-05-01,"Canada",17221,1.7221e+10,"Credit_rate","Dollars (in millions)"
2013-05-01,"Canada",5.42,0.0542,"Credit_rate","Interest rate (percentage)"
2013-06-01,"Canada",10869,1.0869e+10,"InMort_total","Dollars (in millions)"
2013-06-01,"Canada",3.08,0.0308,"InMort_total","Interest rate (percentage)"
2013-06-01,"Canada",885,8.85e+08,"InMort_var","Dollars (in millions)"
2013-06-01,"Canada",3.49,0.0349,"InMort_var","Interest rate (percentage)"
2013-06-01,"Canada",522,5.22e+08,"InMort_fix0_1","Dollars (in millions)"
2013-06-01,"Canada",4.75,0.0475,"InMort_fix0_1","Interest rate (percentage)"
2013-06-01,"Canada",1648,1.648e+09,"InMort_fix1_3","Dollars (in millions)"
2013-06-01,"Canada",2.8,0.028,"InMort_fix1_3","Interest rate (percentage)"
2013-06-01,"Canada",1999,1.999e+09,"InMort_fix3_5","Dollars (in millions)"
2013-06-01,"Canada",2.93,0.0293,"InMort_fix3_5","Interest rate (percentage)"
2013-06-01,"Canada",5815,5.815e+09,"InMort_fix5","Dollars (in millions)"
2013-06-01,"Canada",3,0.03,"InMort_fix5","Interest rate (percentage)"
2013-06-01,"Canada",18129,1.8129e+10,"UnMort_total","Dollars (in millions)"
2013-06-01,"Canada",3,0.03,"UnMort_total","Interest rate (percentage)"
2013-06-01,"Canada",1543,1.543e+09,"UnMort_var","Dollars (in millions)"
2013-06-01,"Canada",3.45,0.0345,"UnMort_var","Interest rate (percentage)"
2013-06-01,"Canada",395,3.95e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-06-01,"Canada",4.4,0.044,"UnMort_fix0_1","Interest rate (percentage)"
2013-06-01,"Canada",3494,3.494e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-06-01,"Canada",2.78,0.0278,"UnMort_fix1_3","Interest rate (percentage)"
2013-06-01,"Canada",3641,3.641e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-06-01,"Canada",2.9,0.029,"UnMort_fix3_5","Interest rate (percentage)"
2013-06-01,"Canada",9056,9.056e+09,"UnMort_fix5","Dollars (in millions)"
2013-06-01,"Canada",2.98,0.0298,"UnMort_fix5","Interest rate (percentage)"
2013-06-01,"Canada",16757,1.6757e+10,"Credit_rate","Dollars (in millions)"
2013-06-01,"Canada",5.25,0.0525,"Credit_rate","Interest rate (percentage)"
2013-07-01,"Canada",10373,1.0373e+10,"InMort_total","Dollars (in millions)"
2013-07-01,"Canada",3.14,0.0314,"InMort_total","Interest rate (percentage)"
2013-07-01,"Canada",1264,1.264e+09,"InMort_var","Dollars (in millions)"
2013-07-01,"Canada",3.31,0.0331,"InMort_var","Interest rate (percentage)"
2013-07-01,"Canada",535,5.35e+08,"InMort_fix0_1","Dollars (in millions)"
2013-07-01,"Canada",4.95,0.0495,"InMort_fix0_1","Interest rate (percentage)"
2013-07-01,"Canada",1697,1.697e+09,"InMort_fix1_3","Dollars (in millions)"
2013-07-01,"Canada",2.8,0.028,"InMort_fix1_3","Interest rate (percentage)"
2013-07-01,"Canada",2389,2.389e+09,"InMort_fix3_5","Dollars (in millions)"
2013-07-01,"Canada",3,0.03,"InMort_fix3_5","Interest rate (percentage)"
2013-07-01,"Canada",4488,4.488e+09,"InMort_fix5","Dollars (in millions)"
2013-07-01,"Canada",3.08,0.0308,"InMort_fix5","Interest rate (percentage)"
2013-07-01,"Canada",18806,1.8806e+10,"UnMort_total","Dollars (in millions)"
2013-07-01,"Canada",3.07,0.0307,"UnMort_total","Interest rate (percentage)"
2013-07-01,"Canada",2351,2.351e+09,"UnMort_var","Dollars (in millions)"
2013-07-01,"Canada",3.27,0.0327,"UnMort_var","Interest rate (percentage)"
2013-07-01,"Canada",375,3.75e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-07-01,"Canada",4.54,0.0454,"UnMort_fix0_1","Interest rate (percentage)"
2013-07-01,"Canada",3812,3.812e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-07-01,"Canada",2.91,0.0291,"UnMort_fix1_3","Interest rate (percentage)"
2013-07-01,"Canada",4533,4.533e+09,"UnMort_fix3_5","Dollars (in millions)"
