"GEO","Date","Age0_17","Age18_64","Age65_over"
"British Columbia",2020-05-01,882224,3109380,952595
"British Columbia",2020-06-01,883735,3116303,953835
"British Columbia",2020-07-01,885313,3123316,954967
"British Columbia",2020-08-01,886959,3130418,955986
"British Columbia",2020-09-01,888675,3137610,956890
"British Columbia",2020-10-01,890464,3144891,957674
"British Columbia",2020-11-01,892326,3152262,958335
"British Columbia",2020-12-01,894266,3159723,958870
"British Columbia",2021-01-01,896283,3167273,959276
"British Columbia",2021-02-01,898380,3174913,959547
"British Columbia",2021-03-01,900560,3182643,959682
"British Columbia",2021-04-01,902823,3190462,959676
"British Columbia",2021-05-01,905173,3198371,959526
"British Columbia",2021-06-01,907610,3206369,959229
"British Columbia",2021-07-01,910138,3214458,958780
"British Columbia",2021-08-01,912757,3222636,958177
"British Columbia",2021-09-01,915470,3230904,957415
"British Columbia",2021-10-01,918278,3239262,956492
"British Columbia",2021-11-01,921185,3247710,955403
"British Columbia",2021-12-01,924191,3256247,954146
"Calgary",2013-01-01,296769,849124,129628
"Calgary",2013-02-01,296952,854833,130807
"Calgary",2013-03-01,297194,860119,131916
"Calgary",2013-04-01,297493,864997,132958
"Calgary",2013-05-01,297846,869481,133935
"Calgary",2013-06-01,298249,873587,134852
"Calgary",2013-07-01,298700,877330,135710
"Calgary",2013-08-01,299196,880725,136513
"Calgary",2013-09-01,299735,883787,137265
"Calgary",2013-10-01,300313,886531,137968
"Calgary",2013-11-01,300928,888972,138626
"Calgary",2013-12-01,301578,891126,139241
"Calgary",2014-01-01,302258,893007,139816
"Calgary",2014-02-01,302967,894630,140356
"Calgary",2014-03-01,303701,896011,140863
"Calgary",2014-04-01,304459,897164,141339
"Calgary",2014-05-01,305236,898105,141789
"Calgary",2014-06-01,306031,898849,142215
"Calgary",2014-07-01,306840,899410,142620
"Calgary",2014-08-01,307661,899804,143008
"Calgary",2014-09-01,308488,900048,143381
"Calgary",2014-10-01,309318,900157,143744
"Calgary",2014-11-01,310145,900148,144098
"Calgary",2014-12-01,310965,900037,144448
"Calgary",2015-01-01,311773,899840,144796
"Calgary",2015-02-01,312564,899573,145146
"Calgary",2015-03-01,313333,899254,145500
"Calgary",2015-04-01,314076,898898,145863
"Calgary",2015-05-01,314788,898521,146236
"Calgary",2015-06-01,315464,898139,146624
"Calgary",2015-07-01,316100,897770,147030
"Calgary",2015-08-01,316692,897428,147456
"Calgary",2015-09-01,317243,897124,147906
"Calgary",2015-10-01,317760,896870,148383
"Calgary",2015-11-01,318246,896674,148888
"Calgary",2015-12-01,318707,896547,149425
"Calgary",2016-01-01,319148,896500,149998
"Calgary",2016-02-01,319574,896543,150608
"Calgary",2016-03-01,319991,896686,151258
"Calgary",2016-04-01,320403,896938,151952
"Calgary",2016-05-01,320815,897311,152691
"Calgary",2016-06-01,321232,897815,153480
"Calgary",2016-07-01,321660,898460,154320
"Calgary",2016-08-01,322102,899251,155213
"Calgary",2016-09-01,322559,900175,156152
"Calgary",2016-10-01,323028,901213,157130
"Calgary",2016-11-01,323508,902348,158139
"Calgary",2016-12-01,323998,903561,159171
"Calgary",2017-01-01,324496,904833,160217
"Calgary",2017-02-01,325000,906146,161270
"Calgary",2017-03-01,325510,907482,162322
"Calgary",2017-04-01,326023,908823,163365
"Calgary",2017-05-01,326538,910150,164391
"Calgary",2017-06-01,327055,911445,165392
"Calgary",2017-07-01,327570,912690,166360
"Calgary",2017-08-01,328083,913871,167289
"Calgary",2017-09-01,328595,914993,168182
"Calgary",2017-10-01,329105,916068,169041
"Calgary",2017-11-01,329614,917105,169872
"Calgary",2017-12-01,330122,918116,170677
"Calgary",2018-01-01,330629,919109,171462
"Calgary",2018-02-01,331137,920096,172230
