"GEO","Date","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
"Edmonton",2017-03-01,0.037,0.182,0.113,0.119,0.094,0.217,0.466,0.249
"Edmonton",2017-04-01,0.038,0.186,0.115,0.121,0.096,0.208,0.456,0.249
"Edmonton",2017-05-01,0.038,0.191,0.116,0.123,0.099,0.198,0.447,0.249
"Edmonton",2017-06-01,0.038,0.195,0.118,0.125,0.101,0.189,0.438,0.248
"Edmonton",2017-07-01,0.039,0.2,0.119,0.127,0.104,0.18,0.428,0.248
"Edmonton",2017-08-01,0.039,0.196,0.119,0.127,0.106,0.181,0.429,0.249
"Edmonton",2017-09-01,0.039,0.192,0.118,0.126,0.107,0.181,0.431,0.25
"Edmonton",2017-10-01,0.039,0.189,0.118,0.126,0.109,0.182,0.432,0.25
"Edmonton",2017-11-01,0.04,0.185,0.117,0.126,0.11,0.182,0.433,0.251
"Edmonton",2017-12-01,0.04,0.181,0.117,0.125,0.112,0.183,0.435,0.252
"Edmonton",2018-01-01,0.04,0.178,0.116,0.125,0.114,0.184,0.436,0.252
"Edmonton",2018-02-01,0.041,0.174,0.116,0.125,0.115,0.184,0.437,0.253
"Edmonton",2018-03-01,0.041,0.17,0.116,0.124,0.117,0.185,0.439,0.254
"Edmonton",2018-04-01,0.041,0.166,0.115,0.124,0.118,0.185,0.44,0.255
"Edmonton",2018-05-01,0.041,0.162,0.115,0.124,0.12,0.186,0.441,0.256
"Edmonton",2018-06-01,0.042,0.159,0.114,0.123,0.121,0.186,0.443,0.256
"Edmonton",2018-07-01,0.042,0.155,0.114,0.123,0.123,0.187,0.444,0.257
"Edmonton",2018-08-01,0.043,0.155,0.116,0.122,0.122,0.186,0.443,0.257
"Edmonton",2018-09-01,0.044,0.155,0.118,0.121,0.12,0.186,0.442,0.257
"Edmonton",2018-10-01,0.044,0.155,0.12,0.12,0.119,0.185,0.442,0.257
"Edmonton",2018-11-01,0.045,0.155,0.122,0.119,0.118,0.184,0.441,0.257
"Edmonton",2018-12-01,0.046,0.155,0.124,0.118,0.117,0.184,0.44,0.257
"Edmonton",2019-01-01,0.046,0.156,0.126,0.117,0.115,0.183,0.44,0.256
"Edmonton",2019-02-01,0.047,0.156,0.128,0.117,0.114,0.182,0.439,0.256
"Edmonton",2019-03-01,0.048,0.156,0.13,0.116,0.113,0.182,0.438,0.256
"Edmonton",2019-04-01,0.049,0.156,0.132,0.115,0.112,0.181,0.437,0.256
"Edmonton",2019-05-01,0.049,0.156,0.134,0.114,0.11,0.18,0.436,0.256
"Edmonton",2019-06-01,0.05,0.156,0.136,0.113,0.109,0.18,0.436,0.256
"Edmonton",2019-07-01,0.051,0.156,0.138,0.112,0.108,0.179,0.435,0.256
"Edmonton",2019-08-01,0.049,0.156,0.137,0.112,0.109,0.18,0.438,0.258
"Edmonton",2019-09-01,0.046,0.155,0.135,0.112,0.11,0.181,0.44,0.26
"Edmonton",2019-10-01,0.044,0.155,0.134,0.112,0.112,0.182,0.443,0.261
"Edmonton",2019-11-01,0.041,0.155,0.133,0.112,0.113,0.183,0.446,0.263
"Edmonton",2019-12-01,0.039,0.154,0.131,0.112,0.114,0.184,0.449,0.265
"Edmonton",2020-01-01,0.036,0.154,0.13,0.112,0.115,0.185,0.452,0.266
"Edmonton",2020-02-01,0.034,0.154,0.129,0.112,0.117,0.186,0.454,0.268
"Edmonton",2020-03-01,0.032,0.153,0.127,0.112,0.118,0.187,0.457,0.27
"Edmonton",2020-04-01,0.029,0.153,0.126,0.112,0.119,0.188,0.46,0.272
"Edmonton",2020-05-01,0.027,0.153,0.125,0.112,0.12,0.189,0.462,0.273
"Edmonton",2020-06-01,0.024,0.152,0.123,0.112,0.122,0.19,0.465,0.275
"Edmonton",2020-07-01,0.022,0.152,0.122,0.112,0.123,0.191,0.468,0.277
"Edmonton",2020-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2020-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2020-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2020-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonton",2021-11-01,NA,NA,NA,NA,NA,NA,NA,NA
