"Date","GEO","VALUE","val_norm","SCALAR_FACTOR","UOM","Census_type","Family_type","Statistics"
2016-07-01,"Vancouver",589850,589850,"units","Number","All census families","Family types without children","Number of persons"
2016-07-01,"Vancouver",900,900,"units","Number","All census families","Family types without children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",395030,395030,"units","Number","All census families","Family types without children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",193920,193920,"units","Number","All census families","Family types without children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",69770,69770,"units","Dollars","All census families","Family types without children","Median before-tax family income"
2016-07-01,"Vancouver",62910,62910,"units","Dollars","All census families","Family types without children","Median after-tax family income"
2016-07-01,"Vancouver",190650,190650,"units","Number","All census families","Family types with 1 child","Number of families"
2016-07-01,"Vancouver",520200,520200,"units","Number","All census families","Family types with 1 child","Number of persons"
2016-07-01,"Vancouver",100890,100890,"units","Number","All census families","Family types with 1 child","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",372660,372660,"units","Number","All census families","Family types with 1 child","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",46660,46660,"units","Number","All census families","Family types with 1 child","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",79950,79950,"units","Dollars","All census families","Family types with 1 child","Median before-tax family income"
2016-07-01,"Vancouver",71280,71280,"units","Dollars","All census families","Family types with 1 child","Median after-tax family income"
2016-07-01,"Vancouver",155490,155490,"units","Number","All census families","Family types with 2 children","Number of families"
2016-07-01,"Vancouver",601790,601790,"units","Number","All census families","Family types with 2 children","Number of persons"
2016-07-01,"Vancouver",216630,216630,"units","Number","All census families","Family types with 2 children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",376010,376010,"units","Number","All census families","Family types with 2 children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",9150,9150,"units","Number","All census families","Family types with 2 children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",105520,105520,"units","Dollars","All census families","Family types with 2 children","Median before-tax family income"
2016-07-01,"Vancouver",92290,92290,"units","Dollars","All census families","Family types with 2 children","Median after-tax family income"
2016-07-01,"Vancouver",50660,50660,"units","Number","All census families","Family types with 3 or more children","Number of families"
2016-07-01,"Vancouver",261310,261310,"units","Number","All census families","Family types with 3 or more children","Number of persons"
2016-07-01,"Vancouver",119520,119520,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",140400,140400,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",1390,1390,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",103660,103660,"units","Dollars","All census families","Family types with 3 or more children","Median before-tax family income"
2016-07-01,"Vancouver",92180,92180,"units","Dollars","All census families","Family types with 3 or more children","Median after-tax family income"
2016-07-01,"Vancouver",613930,613930,"units","Number","Couple families","Family types with or without children","Number of families"
2016-07-01,"Vancouver",1783760,1783760,"units","Number","Couple families","Family types with or without children","Number of persons"
2016-07-01,"Vancouver",372020,372020,"units","Number","Couple families","Family types with or without children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",1174820,1174820,"units","Number","Couple families","Family types with or without children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",236930,236930,"units","Number","Couple families","Family types with or without children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",88000,88000,"units","Dollars","Couple families","Family types with or without children","Median before-tax family income"
2016-07-01,"Vancouver",77940,77940,"units","Dollars","Couple families","Family types with or without children","Median after-tax family income"
2016-07-01,"Vancouver",294930,294930,"units","Number","Couple families","Family types without children","Number of families"
2016-07-01,"Vancouver",589850,589850,"units","Number","Couple families","Family types without children","Number of persons"
2016-07-01,"Vancouver",900,900,"units","Number","Couple families","Family types without children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",395030,395030,"units","Number","Couple families","Family types without children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",193920,193920,"units","Number","Couple families","Family types without children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",69770,69770,"units","Dollars","Couple families","Family types without children","Median before-tax family income"
2016-07-01,"Vancouver",62910,62910,"units","Dollars","Couple families","Family types without children","Median after-tax family income"
2016-07-01,"Vancouver",138910,138910,"units","Number","Couple families","Family types with 1 child","Number of families"
2016-07-01,"Vancouver",416730,416730,"units","Number","Couple families","Family types with 1 child","Number of persons"
2016-07-01,"Vancouver",76010,76010,"units","Number","Couple families","Family types with 1 child","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",306500,306500,"units","Number","Couple families","Family types with 1 child","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",34230,34230,"units","Number","Couple families","Family types with 1 child","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",95150,95150,"units","Dollars","Couple families","Family types with 1 child","Median before-tax family income"
2016-07-01,"Vancouver",83860,83860,"units","Dollars","Couple families","Family types with 1 child","Median after-tax family income"
2016-07-01,"Vancouver",135330,135330,"units","Number","Couple families","Family types with 2 children","Number of families"
2016-07-01,"Vancouver",541300,541300,"units","Number","Couple families","Family types with 2 children","Number of persons"
2016-07-01,"Vancouver",190380,190380,"units","Number","Couple families","Family types with 2 children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",343420,343420,"units","Number","Couple families","Family types with 2 children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",7500,7500,"units","Number","Couple families","Family types with 2 children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",114290,114290,"units","Dollars","Couple families","Family types with 2 children","Median before-tax family income"
2016-07-01,"Vancouver",99080,99080,"units","Dollars","Couple families","Family types with 2 children","Median after-tax family income"
2016-07-01,"Vancouver",44770,44770,"units","Number","Couple families","Family types with 3 or more children","Number of families"
2016-07-01,"Vancouver",235870,235870,"units","Number","Couple families","Family types with 3 or more children","Number of persons"
2016-07-01,"Vancouver",104720,104720,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",129870,129870,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",1280,1280,"units","Number","Couple families","Family types with 3 or more children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",111750,111750,"units","Dollars","Couple families","Family types with 3 or more children","Median before-tax family income"
